Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0010 Municipal Council,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01010 Municipal Council,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416001 Donations - Brigadoon Park Fitness Trail,,,,,,,,"6,300",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 01010,,,,,,,"6,300",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,0010 Municipal Council,,,,"6,300",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0011 City Clerk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01011 City Clerk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416043 Contribution for Sister Cities,,,,,,,,"1,150",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416268 Campaign Financing - Late Fees,,,,,,,,0,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 01011,,,,,,,"1,150",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,0011 City Clerk,,,"1,150",,0,,0,,0,0,,0,0,,0
