,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2015,,,,,,,
Account,,,,,,,,FY 2013,FY 2014,,,FY 2014,FY 2015,,FY 2016,,FY 2017,FY 2018,,FY 2019
,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0010 Municipal Council,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
01010 Municipal Council,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
416011 Donations,,,,,,,,"8,625",0,,,0,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,
416911 Donation - Mayor's Committee - Disabilities,,,,,,,,"1,000",0,,,0,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Org Code 01010,,,,,,,"9,625",,0,,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,
,,,,,0010 Municipal Council,,,,"9,625",,0,,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0020 City Manager,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
02021 Office of Volunteer Resources,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
416011 Donations,,,,,,,,500,0,,,0,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,
,,Org Code 02021,,,,,,,500,,0,,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,
,,,,,0020 City Manager,,,500,0,,,0,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0030 City Attorney,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
03010 City Attorney,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
415007 Reimb-Freedom of Info Act-Req,,,,,,,,"1,913",0,,,0,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,
,,Org Code 03010,,,,,,,"1,913",,0,,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,
,,,,,0030 City Attorney,,,"1,913",0,,,0,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0040 Finance,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
04030 Director's Office,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
413060 General District Court - ATM Permit Fee,,,,,,,,0,"1,450",,,"1,450","1,450",,"1,450",,"1,450","1,450",,"1,450"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
